,user_ID,name,affiliation
67,W8l_dqIAAAAJ,Dr.Somnuk Tangtermsirikul,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
68,04YlgK8AAAAJ,Kriengkrai Techakanont,"Associate Professor, Faculty of Economics, Thammasat University"
69,ZFvvmbYAAAAJ,Phatthanakit Chobthamkit,Thammasat University
70,DrRm-zUAAAAJ,Siriluck Rotchankitumnuai,"Thammasat Business School, Thammasat University"
71,Y2rA2nMAAAAJ,supakorn phoocharoensil,"Language Institute, Thammasat University"
72,jkZpNuYAAAAJ,Manat Srivanit,"Assistant Professor of City Planning, Faculty of Architecture and Planning, Thammasat …"
73,Y9_i9IoAAAAJ,Prof.Dr. Orapan Poachanukoon,"Faculty of Medicine, Thammasat University"
74,8uY7ix4AAAAJ,Shu Han Hsu,"Sirindhorn International Institute of Technology (SIIT), Thammasat University, Thailand"
75,G03mmSIAAAAJ,Watit Pakdee,Thammasat University
76,4DZaRGYAAAAJ,Rathapon Asasutjarit,Thammasat University
77,ySezUucAAAAJ,Cholwich Nattee,"Sirindhorn International Institute of Technology, Thammasat University"
78,J8H8WbAAAAAJ,Aurathai Lertwannawit,"Associate Professor in Business Administration, Marketing Department, Thammasat …"
79,gf-vn2oAAAAJ,Asst.Prof.Dr. Kom Campiranon,"College of Innovation, Thammasat University"
80,GuALoboAAAAJ,Patcharee Kooncumchoo,"Asst.Professor of Physical Therapy, Thammasat University"
81,ytwnqaYAAAAJ,Sirima Mongkolsomlit,"Faculty of Public Health, Thammasat University"
82,FeSYQ9UAAAAJ,Jirapon Sunkpho,Thammasat University
83,Fxx0NBEAAAAJ,Sumet Kongkiatpaiboon,"Drug Discovery and Development Center, Thammasat University"
84,35ESlEcAAAAJ,Ratchata Peachavanish,Thammasat University
85,VWv6qfIAAAAJ,Somboon Kulvisaechana,Thammasat Business School
86,7FSes-sAAAAJ,Supenya Chittapun,Thammasat University
87,agRE3Q4AAAAJ,Natenapha Yabushita,Thammasat University
88,KbyVPr4AAAAJ,somsak vongpradubchai,"Lecture, Faculty of Engineering, Thammasat University (Rangsit Campus)"
89,fSuRF4gAAAAJ,Charturong Tantibundhit,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
90,P6o3R6cAAAAJ,sudaporn Sudprasert,Thammasat University
91,XyYldawAAAAJ,Somchart Fugkeaw,"Sirindhorn Institute of Technology, Thammasat University"
92,SKd9C_QAAAAJ,Muthita Phanasathit,Thammasat University
93,PF7C904AAAAJ,Nichaphat Thongsai,"Ph.D. at Department of Chemistry, Thammasat University"
94,v_ETD68AAAAJ,Paiboon Nakmahachalasint,Thammasat University
95,zYs7N1AAAAAJ,Tareq Hossain,"Lecturer, Thammasat Business School"
96,yIpiYE0AAAAJ,Timo Ojanen,"Faculty of Learning Sciences and Education, Thammasat University"
97,DA9lAfYAAAAJ,Kittipong Chainok,Thammasat University
98,OsvbnKAAAAAJ,Watchaneeporn Setthasakko,"Thammasat Business School, Thammasat University"
99,9qwG-5sAAAAJ,Onjira Sitthisak,"Department of Computer Science, Faculty of Science and Technology,Thammasat …"
100,fgXGb-oAAAAJ,Thongchai Kanabkaew,Thammasat University
101,utSFHHAAAAAJ,Isares Dhuchakallaya,Thammasat University
102,-Nyu6C8AAAAJ,Pantisa Pavabutr,Thammasat Business School
103,BSB3qsUAAAAJ,Sathaporn Opasanon,"Associate Professor of Commerce and Accountancy, Thammasat University"
104,FKGmS7gAAAAJ,pichai aree,Thammasat University
105,fdxbFp4AAAAJ,Paolo Bertozzini,"Foreign Expert, Department of Mathematics and Statistics, Thammasat University"
106,dno5C6MAAAAJ,Patcharee Isarankura-Na-Ayudhya,Thammasat University
107,bkSJ0TwAAAAJ,Somchai Supattarakul,"Thammasat Business School, Thammasat University"
108,7cwN7dIAAAAJ,Prajak Kongkirati,"Faculty of Political Science, Thammasat University"
109,eY0qi74AAAAJ,Suparuj Lueangarun,"Assistant Professor, Division of Dermatology, Chulabhorn International College of Medicine …"
110,VG8fTU0AAAAJ,John Winward,"lecturer, Thammasat University"
111,Btx0U58AAAAJ,Nattapong Puttanapong,Thammasat University
112,pjbupgEAAAAJ,Nitikorn Noraphaiphipaksa,"Mechanical Engineering, Thammasat University"
113,oJ_14kQAAAAJ,Sajee Sirikrai,"Department of Operations Management, Thammasat Business School"
114,Cgc8BGwAAAAJ,Tatchalerm Sudhipongpracha,"College of Interdisciplinary Studies, Thammasat University"
115,-z8vR6sAAAAJ,Suthisak Kraisornsuthasinee,"Thammasat Business School, Thammasat University"
116,6GojeM8AAAAJ,Adisorn Juntrasook,Thammasat University
117,sFzkGwMAAAAJ,Tuong Vi Tran,"PhD of Petrochemistry, Thammasat University"
118,SWN6W_QAAAAJ,Chaiyuth Padungsaksawasdi,Thammasat Business School
119,spTpSjkAAAAJ,Laddawan Aiemsomboon,Thammasat University
120,LCVBkkUAAAAJ,Wai Chamornmarn,Thammasat university
121,fivSEYsAAAAJ,Pailin Trongmateerut,"Department of Accounting, Thammasat Business School"
122,oGaYAk8AAAAJ,Wararit Panichkitkosolkul,Thammasat University
123,uwsM0J0AAAAJ,Daranee Jareemit,"Faculty of Architecture and Planning, Thammasat University"
124,JHAt9hIAAAAJ,Uma Langkulsen,"Faculty of Public Health, Thammasat University"
125,UCNA6dQAAAAJ,Pokpong Songmuang,"Thammasat University, Department of Computer Science"
126,_K7vu3QAAAAJ,Worapop Suthiwartnarueput,"Department of Pathology and Forensic medicine, Faculty of Medicine, Thammasat University …"
127,NA2hZ_sAAAAJ,Krisada Chaiyasarn,"Department of Civil Engineering, Thammasat University"
128,3vsR_PYAAAAJ,Nuchada Dumrongsiri,Thammasat University
129,7TAVi-cAAAAJ,Ganchai Tanapornraweekit,Sirindhorn International Institute of Technology
130,4oYHGwEAAAAJ,Panichakorn Jaiyong,"Thammasat University, University of Manchester"
131,q3a3c6wAAAAJ,Chainarong Chaktranond,"Department of Mechanical Engineering, Faculty of Engineering, Thammasat University …"
132,hfgLbmsAAAAJ,Kanoktip Pansuksan,Thammasat University
133,AWp-inYAAAAJ,Sophida Sukprasert,"CICM, Thammasat University"
134,w57gQ0EAAAAJ,Asst.Prof.Dr Songsakdi Rongviriyapanish,"Faculty of Science and Technology, Thammasat University"
135,JS7ITa0AAAAJ,Wasin Siwasarit,"Department of Economics, Thammasat University"
136,CIGup-kAAAAJ,Sakol Suethanapornkul,"Department of English and Linguistics, Faculty of Liberal Arts, Thammasat University"
137,u__8k3QAAAAJ,Suthikorn Kingkaew,Thammasat Business School
138,D-gCjy0AAAAJ,Wiroj Limtrakarn,"Professor of Mechanical Engineering, Thammasat University"
139,o656ai0AAAAJ,Patarawan Sangnawakij,"Lecturer of Statistics, Thammasat University"
140,UxO9m6MAAAAJ,Sirirat Na Ranong,Thammasat University
141,k2XMMGMAAAAJ,Patnaree Srisuphaolarn,Thammasat Business School
142,WLlm5VwAAAAJ,Bhuminan Piyathasanan,Lecturer of Thammasat Business School
143,xrKrnPUAAAAJ,Sangdao Wongsai,Thammasat University
144,2f1eUr8AAAAJ,AJ Benjamin Clarke,"Department of English and Linguistics, Thammasat University, Thailand"
145,-LjZjBYAAAAJ,Rachada Kongkachandra,Thammasat University
146,J-2GSGUAAAAJ,"Kewalin Inthanon, PhD, MPhil.","Biotechnology, Faculty of Science and Technology, Thammasat University"
147,Gwc1_EMAAAAJ,Woraphon Wattanatorn,Thammasat University
148,IzGKIBkAAAAJ,Supakit Prueksaaroon,"Faculty of Engineering, Thammasat University"
149,91z1Tv8AAAAJ,Prapaporn Rattanatamrong,"Computer Science, Thammasat University"
150,eyIlf_4AAAAJ,Sarun Gulyanon,Thammasat University
151,e-JEPVoAAAAJ,Panya Issarawornrawanich,"Thammasat Business School, Thammasat University"
152,X0V5Y3QAAAAJ,Monthon Sorakraikitikul,Thammasat Business School
153,PydiLw4AAAAJ,Chanintira na Thalang,Thammasat University
154,ULsutnMAAAAJ,Peerasak Intarapaiboon,Thammasat University
155,zXscJoAAAAAJ,Neramitr Chirakanphaisarn,Thammasat University
156,OFO6l_gAAAAJ,Rangsiman Soonthornchaiya,Thammasat university
157,_xTQ204AAAAJ,Kesorn Suwanprasert,Faculty of Medicine Thammasat University
158,7zY04eEAAAAJ,Asst.Prof.Dr.Kongkoon Tochaiwat,"Thammasat University, Thailand"
159,X4m6MKgAAAAJ,Monvika Phadoongsitthi,"Thammasat Business School, Thammasat University"
160,yzNFy8cAAAAJ,Bhawat Traipattanakul,Sirindhorn International Institute of Technology
161,KJWyA3sAAAAJ,Monthon Kanokpermpoon,"Lecturer in TESOL, Language Institute, Thammasat University"
162,9SEyR-8AAAAJ,Suntichai Kotcharin,Thammasat University
163,G35ltCcAAAAJ,Arslan Khalid,"Sirindhorn International Institute of Technology, Thammasat University, Thailand"
164,J-TTqwQAAAAJ,Chalirmporn Atasilp,Thammasat University
